boundary_scope,primary_biome,metric,measure_type,t0,t1,diagnostic_interval,cells,supported_cells,undefined_cells,nonzero_cells,value_sum,value_mean,value_median,value_q90,contribution_to_combined_domain_sum
primary_assignment,Amazon,replenishment_ha,absolute_area,2005,2010,0,14213,14213,0,10290,5878892.9345521145,413.62787128348094,56.90398529969594,1341.7811076161504,0.58449614360777302
primary_assignment,Amazon,replenishment_rate_initial_native,relative_intensity,2005,2010,0,14213,14213,0,10290,548.24560456324093,0.038573531595246673,0.0037814943612139535,0.12770578079663544,
primary_assignment,Amazon,nat_tmp_endpoint_ha,absolute_area,2005,2010,0,14213,14213,0,2303,153863.09185809569,10.82551831830688,0,3.3964339092373854,0.16277930930631218
primary_assignment,Amazon,nat_tmp_intensity_initial_native,relative_intensity,2005,2010,0,14213,14213,0,2303,14.237907029015863,0.0010017524118072091,0,0.00029604372577211814,
primary_assignment,Amazon,nat_tmp_pas_any_ha,trajectory_area,2005,2010,0,14213,14213,0,1435,20626.854050976297,1.4512667312303031,0,0.086494958400726282,0.25664317613851317
primary_assignment,Amazon,nat_tmp_pas_any_share_endpoint,trajectory_share,2005,2010,0,14213,2303,11910,1435,513.12908393581426,0.22280898130083121,0.033118095391589816,0.92519912415815997,
primary_assignment,Amazon,nat_tmp_pas_consecutive2_ha,trajectory_area,2005,2010,0,14213,14213,0,1359,19689.102460021568,1.3852882895955512,0,0,0.25711116784151555
primary_assignment,Amazon,nat_tmp_pas_consecutive2_share_endpoint,trajectory_share,2005,2010,0,14213,2303,11910,1359,470.94713898404399,0.20449289578117411,0.020404760147901282,0.85714309788710485,
primary_assignment,Amazon,net_cr_balance_ha,signed_area,2005,2010,0,14213,14213,0,10299,-5081082.1133444356,-357.49539951765536,-31.033338293696151,0,0.70256765619116734
primary_assignment,Amazon,cr_balance_index,bounded_index,2005,2010,0,14213,10299,3914,10299,-8540.8758676364087,-0.82929176304849095,-1,-0.3348554199396071,
primary_assignment,Amazon,consolidation_ha,absolute_area,2010,2015,0,14213,14213,0,3938,1883562.0844541395,132.52389252474069,0,192.89216980107312,0.37864124635769608
primary_assignment,Amazon,consolidation_rate_initial_pasture,relative_intensity,2010,2015,0,14213,10507,3706,3938,461.83509917798261,0.043954991831919921,0,0.11536597576070963,
primary_assignment,Amazon,replenishment_ha,absolute_area,2010,2015,0,14213,14213,0,10424,4277393.6272708606,300.94938628515166,42.010054180347453,934.3709849432347,0.49179188919591921
primary_assignment,Amazon,replenishment_rate_initial_native,relative_intensity,2010,2015,0,14213,14212,1,10424,424.12634609924555,0.029842833246499126,0.0028910549442376652,0.095006371466706666,
primary_assignment,Amazon,nat_tmp_endpoint_ha,absolute_area,2010,2015,0,14213,14213,0,3064,243498.5384652222,17.132100081982845,0,11.964873428409035,0.17872635012916543
primary_assignment,Amazon,nat_tmp_intensity_initial_native,relative_intensity,2010,2015,0,14213,14212,1,3064,23.202897064463045,0.0016326271506095585,0,0.0011261372304361575,
primary_assignment,Amazon,nat_tmp_pas_any_ha,trajectory_area,2010,2015,0,14213,14213,0,1983,22538.974146358407,1.5857999117961308,0,0.59764723592531244,0.16809965514778019
primary_assignment,Amazon,nat_tmp_pas_any_share_endpoint,trajectory_share,2010,2015,0,14213,3064,11149,1983,597.48422020677242,0.19500137735207976,0.028134677091901858,0.7594128098809152,
primary_assignment,Amazon,nat_tmp_pas_consecutive2_ha,trajectory_area,2010,2015,0,14213,14213,0,1854,20719.535075119224,1.4577875941123777,0,0.43451652973890448,0.16299258004768202
primary_assignment,Amazon,nat_tmp_pas_consecutive2_share_endpoint,trajectory_share,2010,2015,0,14213,3064,11149,1854,520.99890177384282,0.17003880606195915,0.01575007380651218,0.66665116077142916,
primary_assignment,Amazon,net_cr_balance_ha,signed_area,2010,2015,0,14213,14213,0,10448,-2393831.5428167214,-168.425493760411,-12.539940764360569,10.843262551263448,0.64297785313566636
primary_assignment,Amazon,cr_balance_index,bounded_index,2010,2015,0,14213,10448,3765,10448,-7433.3856104412716,-0.71146493208664541,-1,0.5381146230146453,
primary_assignment,Amazon,consolidation_ha,absolute_area,2015,2020,0,14213,14213,0,4344,1526972.9958883692,107.43495362614291,0,240.17640817854942,0.38988450665964119
primary_assignment,Amazon,consolidation_rate_initial_pasture,relative_intensity,2015,2020,0,14213,10727,3486,4344,389.02881830726341,0.03626632034187223,0,0.10724928407436649,
primary_assignment,Amazon,replenishment_ha,absolute_area,2015,2020,0,14213,14213,0,10710,5142163.4106208626,361.79296493497941,57.948402113335959,1074.633288999019,0.5702929541106464
primary_assignment,Amazon,replenishment_rate_initial_native,relative_intensity,2015,2020,0,14213,14212,1,10710,501.77822889267486,0.03530665837972663,0.0041505125622399476,0.11176904733126536,
primary_assignment,Amazon,nat_tmp_endpoint_ha,absolute_area,2015,2020,0,14213,14213,0,3367,247587.18783993358,17.419769776960077,0,13.045865188539056,0.33431030150111152
primary_assignment,Amazon,nat_tmp_intensity_initial_native,relative_intensity,2015,2020,0,14213,14212,1,3367,23.555064124268739,0.0016574067073085238,0,0.0013323803173769619,
primary_assignment,Amazon,nat_tmp_pas_any_ha,trajectory_area,2015,2020,0,14213,14213,0,2125,17546.713370049732,1.2345538148209199,0,0.6043432340025906,0.21496819137636097
primary_assignment,Amazon,nat_tmp_pas_any_share_endpoint,trajectory_share,2015,2020,0,14213,3367,10846,2125,540.2210688312806,0.16044581788870824,0.019680717734011977,0.60000045880477137,
primary_assignment,Amazon,nat_tmp_pas_consecutive2_ha,trajectory_area,2015,2020,0,14213,14213,0,1938,16065.925868512339,1.1303683858799929,0,0.35749956816434858,0.21098967408726046
primary_assignment,Amazon,nat_tmp_pas_consecutive2_share_endpoint,trajectory_share,2015,2020,0,14213,3367,10846,1938,445.98857771962173,0.13245874004146768,0.0079622922753327004,0.48192314069530956,
primary_assignment,Amazon,net_cr_balance_ha,signed_area,2015,2020,0,14213,14213,0,10754,-3615190.4147324935,-254.35801130883652,-16.279561560411079,25.098084363674612,0.70882890529040288
primary_assignment,Amazon,cr_balance_index,bounded_index,2015,2020,0,14213,10754,3459,10754,-7518.4711644168801,-0.69913252412282689,-1,0.48147331027866397,
primary_assignment,Amazon,consolidation_ha,absolute_area,2020,2025,1,14213,14213,0,4182,1003345.2298548507,70.593486938355781,0,133.05752142598831,0.48091471282758591
primary_assignment,Amazon,consolidation_rate_initial_pasture,relative_intensity,2020,2025,1,14213,11019,3194,4182,326.7536627425153,0.029653658475589009,0,0.080907651395733818,
primary_assignment,Amazon,replenishment_ha,absolute_area,2020,2025,1,14213,14213,0,11474,5078283.9678012468,357.29852724978872,82.030287085356662,1041.0271180846823,0.50587822842223307
primary_assignment,Amazon,replenishment_rate_initial_native,relative_intensity,2020,2025,1,14213,14212,1,11474,505.68679364290858,0.035581677008366772,0.0062024708624618605,0.11403063095970063,
primary_assignment,Amazon,nat_tmp_endpoint_ha,absolute_area,2020,2025,1,14213,14213,0,3412,194866.41413790412,13.710435104334351,0,14.615257760707097,0.28578494219384093
primary_assignment,Amazon,nat_tmp_intensity_initial_native,relative_intensity,2020,2025,1,14213,14212,1,3412,19.340101160228219,0.001360828958642571,0,0.0014376883035317417,
primary_assignment,Amazon,nat_tmp_pas_any_ha,trajectory_area,2020,2025,1,14213,14213,0,1878,14162.317632348222,0.99643408375066644,0,0.2630217760801315,0.28042444841475783
primary_assignment,Amazon,nat_tmp_pas_any_share_endpoint,trajectory_share,2020,2025,1,14213,3412,10801,1878,363.77718914664058,0.10661699564672936,0.0038899656905384879,0.36708536438039147,
primary_assignment,Amazon,nat_tmp_pas_consecutive2_ha,trajectory_area,2020,2025,1,14213,14213,0,1717,13145.653477472388,0.92490350224951723,0,0.17523390948772424,0.27809620689636544
primary_assignment,Amazon,nat_tmp_pas_consecutive2_share_endpoint,trajectory_share,2020,2025,1,14213,3412,10801,1717,315.95213716845018,0.092600274668361723,0.00039026947083166332,0.30874773754199331,
primary_assignment,Amazon,net_cr_balance_ha,signed_area,2020,2025,1,14213,14213,0,11506,-4074938.7379463958,-286.70504031143292,-41.425681917719984,0,0.51242759804058347
primary_assignment,Amazon,cr_balance_index,bounded_index,2020,2025,1,14213,11506,2707,11506,-8870.7194928909448,-0.77096466998878366,-1,0.11919827197278961,
primary_assignment,Cerrado,consolidation_ha,absolute_area,1985,1990,0,10676,10676,0,4343,1426745.4991765805,133.64045514954856,0,361.12775294631717,0.98395971283294159
primary_assignment,Cerrado,consolidation_rate_initial_pasture,relative_intensity,1985,1990,0,10676,9607,1069,4343,383.3666637220644,0.039904930126164716,0,0.11389122163567564,
primary_assignment,Cerrado,replenishment_ha,absolute_area,1985,1990,0,10676,10676,0,9842,11391661.789096473,1067.0346374200517,681.04242267180598,2683.6197544011707,0.69345107204641598
primary_assignment,Cerrado,replenishment_rate_initial_native,relative_intensity,1985,1990,0,10676,10673,3,9842,1051.7096721380371,0.09853927406896254,0.057046459062635377,0.2601741866440625,
primary_assignment,Cerrado,nat_tmp_endpoint_ha,absolute_area,1985,1990,0,10676,10676,0,4619,1321141.2465636539,123.74871174256781,0,247.86256146387143,0.942339341213564
primary_assignment,Cerrado,nat_tmp_intensity_initial_native,relative_intensity,1985,1990,0,10676,10673,3,4619,117.34982738380353,0.010995018025279071,0,0.02851807561001702,
primary_assignment,Cerrado,nat_tmp_pas_any_ha,trajectory_area,1985,1990,0,10676,10676,0,3842,141803.71094234841,13.282475734577408,0,30.907559914127283,0.97673636925074725
primary_assignment,Cerrado,nat_tmp_pas_any_share_endpoint,trajectory_share,1985,1990,0,10676,4619,6057,3842,1465.5528347767217,0.31728790534243811,0.16493538462608806,0.97738598205895311,
primary_assignment,Cerrado,nat_tmp_pas_consecutive2_ha,trajectory_area,1985,1990,0,10676,10676,0,3785,136606.49034653924,12.795662265505737,0,29.396625485271215,0.97798589564843275
primary_assignment,Cerrado,nat_tmp_pas_consecutive2_share_endpoint,trajectory_share,1985,1990,0,10676,4619,6057,3785,1401.3154177591614,0.30338069230551229,0.14469474898080481,0.95578384476812628,
primary_assignment,Cerrado,net_cr_balance_ha,signed_area,1985,1990,0,10676,10676,0,9852,-9964916.2899198923,-933.39418227050317,-556.12094228498484,0,0.66532628298513885
primary_assignment,Cerrado,cr_balance_index,bounded_index,1985,1990,0,10676,9852,824,9852,-8067.0075315667937,-0.81881927847815605,-1,-0.31407655038209825,
primary_assignment,Cerrado,consolidation_ha,absolute_area,1990,1995,0,10676,10676,0,5424,1570344.3002530998,147.09107345945108,0.34729852899909014,478.74313633034342,0.95826522392553004
primary_assignment,Cerrado,consolidation_rate_initial_pasture,relative_intensity,1990,1995,0,10676,9909,767,5424,452.20078818700313,0.045635360600161788,0.00034223635694360574,0.13595591266960708,
primary_assignment,Cerrado,replenishment_ha,absolute_area,1990,1995,0,10676,10676,0,10034,8911746.2371616662,834.74580715264767,538.10755716283234,2116.5057665752429,0.52877028781053093
primary_assignment,Cerrado,replenishment_rate_initial_native,relative_intensity,1990,1995,0,10676,10672,4,10034,852.26686037947911,0.079860088116517902,0.054902307368758466,0.19233598453652179,
primary_assignment,Cerrado,nat_tmp_endpoint_ha,absolute_area,1990,1995,0,10676,10676,0,5059,1055444.9391169776,98.861459265359457,0,170.32015656536703,0.89361284055751833
