boundary_scope,primary_biome,metric,t0,t1,diagnostic_interval,supported_cells,excluded_biome_cells,components,islands,undirected_edges,s0,mean_neighbor_count,moran_i,expected_i,seed,permutations,status,p_two_sided,permutation_mean,permutation_sd,permutation_q025,permutation_q975,family,q_by,significant_by_005,combined_domain_moran_i,biome_minus_combined_moran_i
primary_assignment,Amazon,cr_balance_index,2020,2025,1,11506,2707,256,150,29005,11355.999999999998,5.0417173648531204,0.75790781335326063,-8.6918730986527599e-05,1743264798,9999,tested,0.0001,-0.00015675231925271212,0.006245686543229558,-0.012432381613153288,0.012147169904498597,primary_assignment__Amazon__diagnostic,0.00022833333333333334,True,0.74695536396936923,0.010952449383891394
primary_assignment,Cerrado,consolidation_ha,1985,1990,0,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.78602568086132274,-9.3676814988290398e-05,1628752107,9999,tested,0.0001,-0.00013206389512038211,0.0057647091701662802,-0.010817540899698571,0.011530239272156488,primary_assignment__Cerrado__primary,0.00041467814190168612,True,0.79922651011582524,-0.0132008292545025
primary_assignment,Cerrado,consolidation_ha,1990,1995,0,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.71549680488815515,-9.3676814988290398e-05,1646733065,9999,tested,0.0001,-8.0515496564674856e-07,0.0057850173741242324,-0.01085950344400473,0.011756136771403466,primary_assignment__Cerrado__primary,0.00041467814190168612,True,0.7283859751837799,-0.012889170295624752
primary_assignment,Cerrado,consolidation_ha,1995,2000,0,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.62687514890459484,-9.3676814988290398e-05,2245611323,9999,tested,0.0001,-4.2915442292806843e-05,0.0056865562606367602,-0.011263272276047159,0.011560946165665857,primary_assignment__Cerrado__primary,0.00041467814190168612,True,0.65535481860225997,-0.028479669697665133
primary_assignment,Cerrado,consolidation_ha,2000,2005,0,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.6491592712409533,-9.3676814988290398e-05,3598732836,9999,tested,0.0001,-0.00021552710519557024,0.0057110497418991907,-0.011085699898779928,0.011186687924941336,primary_assignment__Cerrado__primary,0.00041467814190168612,True,0.63850882586082902,0.010650445380124274
primary_assignment,Cerrado,consolidation_ha,2005,2010,0,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.60403833062362511,-9.3676814988290398e-05,3539179101,9999,tested,0.0001,-0.00011415808903585059,0.0057558091875969915,-0.011247450699410645,0.011531556629449352,primary_assignment__Cerrado__primary,0.00041467814190168612,True,0.61026573968071085,-0.0062274090570857421
primary_assignment,Cerrado,consolidation_ha,2010,2015,0,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.58092219631976416,-9.3676814988290398e-05,1200538391,9999,tested,0.0001,-0.00010474885720932053,0.0058135043410550832,-0.011326294275382174,0.011392816564023158,primary_assignment__Cerrado__primary,0.00041467814190168612,True,0.61811129094780481,-0.037189094628040653
primary_assignment,Cerrado,consolidation_ha,2015,2020,0,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.54614035298767627,-9.3676814988290398e-05,2544344549,9999,tested,0.0001,-0.0001057167747613589,0.005735007856433009,-0.011204432751689581,0.011389277624560998,primary_assignment__Cerrado__primary,0.00041467814190168612,True,0.55919813037645894,-0.013057777388782665
primary_assignment,Cerrado,consolidation_ha,2020,2025,1,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.52735643242524555,-9.3676814988290398e-05,2030259880,9999,tested,0.0001,-4.9669351094337456e-05,0.0057057210442674295,-0.010831242146400384,0.011413528405562848,primary_assignment__Cerrado__diagnostic,0.00022833333333333334,True,0.55243997993413307,-0.025083547508887527
primary_assignment,Cerrado,replenishment_ha,1985,1990,0,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.73580305766287657,-9.3676814988290398e-05,1817175711,9999,tested,0.0001,-0.00013984877643393985,0.0057562831064584645,-0.011288039785049166,0.011378445453217405,primary_assignment__Cerrado__primary,0.00041467814190168612,True,0.76997353894534548,-0.034170481282468912
