boundary_scope,primary_biome,metric,t0,t1,diagnostic_interval,stage,cells,biome_cells,cell_fraction
primary_assignment,Amazon,replenishment_ha,2005,2010,0,positive_high,820,14213,0.05769366073313164
primary_assignment,Amazon,replenishment_ha,2005,2010,0,positive_low,5751,14213,0.40462956448321957
primary_assignment,Amazon,replenishment_ha,2005,2010,0,positive_moderate,3719,14213,0.26166185886160559
primary_assignment,Amazon,replenishment_ha,2005,2010,0,zero,3923,14213,0.27601491592204319
primary_assignment,Amazon,replenishment_ha,2010,2015,0,positive_high,412,14213,0.028987546612256384
primary_assignment,Amazon,replenishment_ha,2010,2015,0,positive_low,6662,14213,0.46872581439527194
primary_assignment,Amazon,replenishment_ha,2010,2015,0,positive_moderate,3350,14213,0.23569971153169633
primary_assignment,Amazon,replenishment_ha,2010,2015,0,zero,3789,14213,0.26658692746077534
primary_assignment,Amazon,replenishment_ha,2015,2020,0,positive_high,601,14213,0.042285231830014779
primary_assignment,Amazon,replenishment_ha,2015,2020,0,positive_low,6357,14213,0.4472665869274608
primary_assignment,Amazon,replenishment_ha,2015,2020,0,positive_moderate,3752,14213,0.2639836769154999
primary_assignment,Amazon,replenishment_ha,2015,2020,0,zero,3503,14213,0.24646450432702455
primary_assignment,Amazon,replenishment_ha,2020,2025,1,positive_high,463,14213,0.032575810877365795
primary_assignment,Amazon,replenishment_ha,2020,2025,1,positive_low,6922,14213,0.4870189263350454
primary_assignment,Amazon,replenishment_ha,2020,2025,1,positive_moderate,4089,14213,0.28769436431436007
primary_assignment,Amazon,replenishment_ha,2020,2025,1,zero,2739,14213,0.19271089847322873
primary_assignment,Amazon,replenishment_rate_initial_native,1985,1990,0,positive_high,520,14213,0.036586223879546895
primary_assignment,Amazon,replenishment_rate_initial_native,1985,1990,0,positive_low,5091,14213,0.35819320340533317
primary_assignment,Amazon,replenishment_rate_initial_native,1985,1990,0,positive_moderate,2159,14213,0.15190318722296489
primary_assignment,Amazon,replenishment_rate_initial_native,1985,1990,0,undefined,1,14213,7.0358122845282483e-05
