boundary_scope,primary_biome,metric,analysis_window,from_t0,from_t1,to_t0,to_t1,contains_diagnostic_interval,from_stage,to_stage,cells,source_cells,source_transition_fraction
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1985,1990,1990,1995,0,positive_moderate,positive_high,30,330,0.090909090909090912
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1985,1990,1990,1995,0,positive_moderate,positive_low,95,330,0.2878787878787879
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1985,1990,1990,1995,0,positive_moderate,positive_moderate,153,330,0.46363636363636362
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1985,1990,1990,1995,0,positive_moderate,zero,52,330,0.15757575757575756
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1985,1990,1990,1995,0,zero,positive_high,10,13326,0.00075041272699984997
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1985,1990,1990,1995,0,zero,positive_low,291,13326,0.021837010355695633
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1985,1990,1990,1995,0,zero,positive_moderate,167,13326,0.012531892540897493
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1985,1990,1990,1995,0,zero,zero,12858,13326,0.96488068437640706
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1990,1995,1995,2000,0,positive_high,positive_high,60,84,0.7142857142857143
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1990,1995,1995,2000,0,positive_high,positive_low,4,84,0.047619047619047616
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1990,1995,1995,2000,0,positive_high,positive_moderate,20,84,0.23809523809523808
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1990,1995,1995,2000,0,positive_low,positive_high,26,571,0.04553415061295972
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1990,1995,1995,2000,0,positive_low,positive_low,202,571,0.35376532399299476
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1990,1995,1995,2000,0,positive_low,positive_moderate,128,571,0.22416812609457093
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1990,1995,1995,2000,0,positive_low,zero,215,571,0.37653239929947463
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1990,1995,1995,2000,0,positive_moderate,positive_high,72,456,0.15789473684210525
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1990,1995,1995,2000,0,positive_moderate,positive_low,120,456,0.26315789473684209
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1990,1995,1995,2000,0,positive_moderate,positive_moderate,175,456,0.38377192982456143
