boundary_scope,primary_biome,metric,t0,t1,diagnostic_interval,lisa_class,cells,biome_cells,supported_cells,class_share_of_biome_cells,class_share_of_supported_cells,metric_value_sum
primary_assignment,Amazon,nat_tmp_endpoint_ha,2000,2005,0,LL,47,14213,14213,0.0033068317737282769,0.0033068317737282769,161.230324216187
primary_assignment,Amazon,nat_tmp_endpoint_ha,2000,2005,0,HL,0,14213,14213,0,0,0
primary_assignment,Amazon,nat_tmp_endpoint_ha,2000,2005,0,LH,4,14213,14213,0.00028143249138112993,0.00028143249138112993,20.11933001107445
primary_assignment,Amazon,nat_tmp_endpoint_ha,2000,2005,0,not_significant,13980,14213,14213,0.98360655737704916,0.98360655737704916,396101.83300100011
primary_assignment,Amazon,nat_tmp_endpoint_ha,2000,2005,0,island,0,14213,14213,0,0,0
primary_assignment,Amazon,nat_tmp_endpoint_ha,2000,2005,0,not_applicable,0,14213,14213,0,,0
primary_assignment,Amazon,nat_tmp_endpoint_ha,2005,2010,0,HH,70,14213,14213,0.004925068599169774,0.004925068599169774,34505.778228368566
primary_assignment,Amazon,nat_tmp_endpoint_ha,2005,2010,0,LL,8293,14213,14213,0.5834799127559277,0.5834799127559277,404.01752036809921
primary_assignment,Amazon,nat_tmp_endpoint_ha,2005,2010,0,HL,1,14213,14213,7.0358122845282483e-05,7.0358122845282483e-05,39.411445192992687
primary_assignment,Amazon,nat_tmp_endpoint_ha,2005,2010,0,LH,10,14213,14213,0.00070358122845282491,0.00070358122845282491,154.65334362498683
primary_assignment,Amazon,nat_tmp_endpoint_ha,2005,2010,0,not_significant,5839,14213,14213,0.41082107929360445,0.41082107929360445,118759.23132054102
primary_assignment,Amazon,nat_tmp_endpoint_ha,2005,2010,0,island,0,14213,14213,0,0,0
primary_assignment,Amazon,nat_tmp_endpoint_ha,2005,2010,0,not_applicable,0,14213,14213,0,,0
primary_assignment,Amazon,nat_tmp_endpoint_ha,2010,2015,0,HH,0,14213,14213,0,0,0
primary_assignment,Amazon,nat_tmp_endpoint_ha,2010,2015,0,LL,61,14213,14213,0.0042918454935622317,0.0042918454935622317,199.71196790784597
primary_assignment,Amazon,nat_tmp_endpoint_ha,2010,2015,0,HL,3,14213,14213,0.00021107436853584746,0.00021107436853584746,252.11200413324084
primary_assignment,Amazon,nat_tmp_endpoint_ha,2010,2015,0,LH,0,14213,14213,0,0,0
primary_assignment,Amazon,nat_tmp_endpoint_ha,2010,2015,0,not_significant,14149,14213,14213,0.99549708013790195,0.99549708013790195,243046.71449318112
primary_assignment,Amazon,nat_tmp_endpoint_ha,2010,2015,0,island,0,14213,14213,0,0,0
primary_assignment,Amazon,nat_tmp_endpoint_ha,2010,2015,0,not_applicable,0,14213,14213,0,,0
primary_assignment,Amazon,nat_tmp_endpoint_ha,2015,2020,0,HH,34,14213,14213,0.0023921761767396045,0.0023921761767396045,25180.581802931491
primary_assignment,Amazon,nat_tmp_endpoint_ha,2015,2020,0,LL,125,14213,14213,0.0087947653556603115,0.0087947653556603115,373.35080888867378
primary_assignment,Amazon,nat_tmp_endpoint_ha,2015,2020,0,HL,3,14213,14213,0.00021107436853584746,0.00021107436853584746,204.83522818237543
primary_assignment,Amazon,nat_tmp_endpoint_ha,2015,2020,0,LH,1,14213,14213,7.0358122845282483e-05,7.0358122845282483e-05,21.00389580098437
primary_assignment,Amazon,nat_tmp_endpoint_ha,2015,2020,0,not_significant,14050,14213,14213,0.98853162597621891,0.98853162597621891,221807.41610413004
primary_assignment,Amazon,nat_tmp_endpoint_ha,2015,2020,0,island,0,14213,14213,0,0,0
primary_assignment,Amazon,nat_tmp_endpoint_ha,2015,2020,0,not_applicable,0,14213,14213,0,,0
primary_assignment,Amazon,nat_tmp_endpoint_ha,2020,2025,1,HH,137,14213,14213,0.0096390628298037,0.0096390628298037,61014.945817940614
primary_assignment,Amazon,nat_tmp_endpoint_ha,2020,2025,1,LL,7788,14213,14213,0.54794906071906002,0.54794906071906002,174.8312548995018
primary_assignment,Amazon,nat_tmp_endpoint_ha,2020,2025,1,HL,2,14213,14213,0.00014071624569056497,0.00014071624569056497,86.829048536717892
primary_assignment,Amazon,nat_tmp_endpoint_ha,2020,2025,1,LH,11,14213,14213,0.00077393935129810732,0.00077393935129810732,98.90425421957876
primary_assignment,Amazon,nat_tmp_endpoint_ha,2020,2025,1,not_significant,6275,14213,14213,0.44149722085414761,0.44149722085414761,133490.90376230772
primary_assignment,Amazon,nat_tmp_endpoint_ha,2020,2025,1,island,0,14213,14213,0,0,0
primary_assignment,Amazon,nat_tmp_endpoint_ha,2020,2025,1,not_applicable,0,14213,14213,0,,0
primary_assignment,Amazon,net_cr_balance_ha,1985,1990,0,HH,0,14213,14213,0,0,0
primary_assignment,Amazon,net_cr_balance_ha,1985,1990,0,LL,464,14213,14213,0.032646169000211077,0.032646169000211077,-1488129.0869869981
primary_assignment,Amazon,net_cr_balance_ha,1985,1990,0,HL,9,14213,14213,0.00063322310560754238,0.00063322310560754238,-4003.4799046841617
primary_assignment,Amazon,net_cr_balance_ha,1985,1990,0,LH,0,14213,14213,0,0,0
primary_assignment,Amazon,net_cr_balance_ha,1985,1990,0,not_significant,13740,14213,14213,0.96672060789418135,0.96672060789418135,-3520438.9484349177
primary_assignment,Amazon,net_cr_balance_ha,1985,1990,0,island,0,14213,14213,0,0,0
primary_assignment,Amazon,net_cr_balance_ha,1985,1990,0,not_applicable,0,14213,14213,0,,0
primary_assignment,Amazon,net_cr_balance_ha,1990,1995,0,HH,4,14213,14213,0.00028143249138112993,0.00028143249138112993,1021.4618096093923
primary_assignment,Amazon,net_cr_balance_ha,1990,1995,0,LL,1364,14213,14213,0.095968479560965311,0.095968479560965311,-4328999.8910401892
primary_assignment,Amazon,net_cr_balance_ha,1990,1995,0,HL,32,14213,14213,0.0022514599310490394,0.0022514599310490394,-11449.258860346763
primary_assignment,Amazon,net_cr_balance_ha,1990,1995,0,LH,1,14213,14213,7.0358122845282483e-05,7.0358122845282483e-05,-774.61025723619196
primary_assignment,Amazon,net_cr_balance_ha,1990,1995,0,not_significant,12812,14213,14213,0.90142826989375924,0.90142826989375924,-3533378.8983884836
primary_assignment,Amazon,net_cr_balance_ha,1990,1995,0,island,0,14213,14213,0,0,0
primary_assignment,Amazon,net_cr_balance_ha,1990,1995,0,not_applicable,0,14213,14213,0,,0
primary_assignment,Amazon,net_cr_balance_ha,1995,2000,0,HH,11,14213,14213,0.00077393935129810732,0.00077393935129810732,5333.8744287190784
primary_assignment,Amazon,net_cr_balance_ha,1995,2000,0,LL,1637,14213,14213,0.11517624709772743,0.11517624709772743,-4609072.0490465891
primary_assignment,Amazon,net_cr_balance_ha,1995,2000,0,HL,39,14213,14213,0.0027439667909660171,0.0027439667909660171,-11039.32149226312
primary_assignment,Amazon,net_cr_balance_ha,1995,2000,0,LH,1,14213,14213,7.0358122845282483e-05,7.0358122845282483e-05,-766.26431180127679
primary_assignment,Amazon,net_cr_balance_ha,1995,2000,0,not_significant,12525,14213,14213,0.88123548863716317,0.88123548863716317,-4201007.8805151628
primary_assignment,Amazon,net_cr_balance_ha,1995,2000,0,island,0,14213,14213,0,0,0
primary_assignment,Amazon,net_cr_balance_ha,1995,2000,0,not_applicable,0,14213,14213,0,,0
primary_assignment,Amazon,net_cr_balance_ha,2000,2005,0,HH,117,14213,14213,0.0082319003728980513,0.0082319003728980513,145034.12051524947
primary_assignment,Amazon,net_cr_balance_ha,2000,2005,0,LL,1587,14213,14213,0.11165834095546331,0.11165834095546331,-4896003.2536797635
primary_assignment,Amazon,net_cr_balance_ha,2000,2005,0,HL,45,14213,14213,0.0031661155280377118,0.0031661155280377118,-9051.0487625245933
primary_assignment,Amazon,net_cr_balance_ha,2000,2005,0,LH,15,14213,14213,0.0010553718426792374,0.0010553718426792374,-22288.628213252479
primary_assignment,Amazon,net_cr_balance_ha,2000,2005,0,not_significant,12449,14213,14213,0.87588827130092173,0.87588827130092173,-5137143.3881336749
primary_assignment,Amazon,net_cr_balance_ha,2000,2005,0,island,0,14213,14213,0,0,0
primary_assignment,Amazon,net_cr_balance_ha,2000,2005,0,not_applicable,0,14213,14213,0,,0
primary_assignment,Amazon,net_cr_balance_ha,2005,2010,0,HH,357,14213,14213,0.025117849855765848,0.025117849855765848,344020.20652556641
primary_assignment,Amazon,net_cr_balance_ha,2005,2010,0,LL,1177,14213,14213,0.082811510588897491,0.082811510588897491,-2468108.6209262991
primary_assignment,Amazon,net_cr_balance_ha,2005,2010,0,HL,29,14213,14213,0.0020403855625131923,0.0020403855625131923,-1167.5010007948563
primary_assignment,Amazon,net_cr_balance_ha,2005,2010,0,LH,10,14213,14213,0.00070358122845282491,0.00070358122845282491,-7119.7669810162752
primary_assignment,Amazon,net_cr_balance_ha,2005,2010,0,not_significant,12640,14213,14213,0.88932667276437061,0.88932667276437061,-2948706.430961892
primary_assignment,Amazon,net_cr_balance_ha,2005,2010,0,island,0,14213,14213,0,0,0
primary_assignment,Amazon,net_cr_balance_ha,2005,2010,0,not_applicable,0,14213,14213,0,,0
primary_assignment,Amazon,net_cr_balance_ha,2010,2015,0,HH,536,14213,14213,0.037711953845071415,0.037711953845071415,970749.37360692187
primary_assignment,Amazon,net_cr_balance_ha,2010,2015,0,LL,983,14213,14213,0.069162034756912683,0.069162034756912683,-1634494.5014743104
primary_assignment,Amazon,net_cr_balance_ha,2010,2015,0,HL,18,14213,14213,0.0012664462112150848,0.0012664462112150848,-575.16660957912018
primary_assignment,Amazon,net_cr_balance_ha,2010,2015,0,LH,18,14213,14213,0.0012664462112150848,0.0012664462112150848,-8221.4194718841536
primary_assignment,Amazon,net_cr_balance_ha,2010,2015,0,not_significant,12658,14213,14213,0.89059311897558568,0.89059311897558568,-1721289.8288678692
primary_assignment,Amazon,net_cr_balance_ha,2010,2015,0,island,0,14213,14213,0,0,0
primary_assignment,Amazon,net_cr_balance_ha,2010,2015,0,not_applicable,0,14213,14213,0,,0
primary_assignment,Amazon,net_cr_balance_ha,2015,2020,0,HH,441,14213,14213,0.031027932174769578,0.031027932174769578,528958.74011354288
primary_assignment,Amazon,net_cr_balance_ha,2015,2020,0,LL,846,14213,14213,0.059522971927108988,0.059522971927108988,-1731296.9167820376
