grid_code,support_scope,t0,t1,interval,diagnostic_interval,metric,selected_cells,defined_cells,selected_support_ha,defined_support_ha,defined_support_fraction,weighted_mean,weighted_std,q00,q10,q25,q50,q75,q90,q99,q100
hex40k_base,sensitivity_ge_25pct,1995,2000,1995_2000,0,replenishment_density_per_10kha,13759,13759,491732455.5530784,491732455.5530784,1.0,317.92802752768506,443.70070219091224,0.0,0.0,3.3054007255869315,121.40826587685393,473.13784290963827,925.7726467273111,1917.9368732614848,3981.7791962347915
hex40k_base,sensitivity_ge_25pct,1995,2000,1995_2000,0,nat_tmp_density_per_10kha,13759,13759,491732455.5530784,491732455.5530784,1.0,24.90051369531009,137.87986775410107,0.0,0.0,0.0,0.0,1.1111386032004975,20.441353201294206,654.9948115291953,4158.698832908381
hex40k_base,sensitivity_ge_25pct,1995,2000,1995_2000,0,net_cr_balance_density_per_10kha,13759,13759,491732455.5530784,491732455.5530784,1.0,-281.2267769275804,465.2642738793503,-3981.7791962347915,-907.7172979636633,-442.30534549528653,-83.48969371308036,-0.2867980905775772,0.0,508.00105662710956,1827.9413793347574
hex40k_base,sensitivity_ge_25pct,1995,2000,1995_2000,0,cr_balance_index,13759,10661,491732455.5530784,409179166.27772236,0.8321174688733859,-0.8015555855788897,0.4551955942458995,-1.0,-1.0,-1.0,-1.0,-0.9356718488960916,-0.14770678558870956,0.9102519580739589,1.0
hex40k_base,sensitivity_ge_25pct,1995,2000,1995_2000,0,consolidation_rate_initial_pasture,13759,10444,491732455.5530784,401162652.82777965,0.8158148771704932,0.027495342618364765,0.08987125817113581,0.0,0.0,0.0,0.0,0.005667264262020569,0.07041600040867195,0.49476064769316597,1.0
hex40k_base,sensitivity_ge_25pct,1995,2000,1995_2000,0,replenishment_rate_initial_native,13759,13741,491732455.5530784,491468894.13741016,0.9994640146024696,0.05580077185939465,0.0801771953602448,0.0,0.0,0.0003882634915854431,0.020548661071017365,0.0837060742901581,0.15823328975361262,0.3579478876466638,0.7350360294003349
hex40k_base,sensitivity_ge_25pct,1995,2000,1995_2000,0,nat_tmp_intensity_initial_native,13759,13741,491732455.5530784,491468894.13741016,0.9994640146024696,0.004324096470639503,0.021875786255853773,0.0,0.0,0.0,0.0,0.00019556351752481014,0.005089405619363644,0.10859033693766368,0.516018100501756
hex40k_base,sensitivity_ge_75pct,1995,2000,1995_2000,0,consolidation_density_per_10kha,11160,11160,439803881.5329732,439803881.5329732,1.0,39.9912648067514,128.60879248874184,0.0,0.0,0.0,0.0,6.477885302654354,103.87865845439104,667.4427592375744,1831.0777208622517
hex40k_base,sensitivity_ge_75pct,1995,2000,1995_2000,0,replenishment_density_per_10kha,11160,11160,439803881.5329732,439803881.5329732,1.0,351.37290993785797,455.2810574757783,0.0,0.0,14.168589606413363,169.56109267713464,524.4142891917041,976.634336109469,1973.6273940631638,3981.7791962347915
hex40k_base,sensitivity_ge_75pct,1995,2000,1995_2000,0,nat_tmp_density_per_10kha,11160,11160,439803881.5329732,439803881.5329732,1.0,27.739456471020297,145.47969402148553,0.0,0.0,0.0,0.0,1.6804621556304193,25.762264152829406,689.855688845938,4158.698832908381
hex40k_base,sensitivity_ge_75pct,1995,2000,1995_2000,0,net_cr_balance_density_per_10kha,11160,11160,439803881.5329732,439803881.5329732,1.0,-311.3816451311066,480.46838697154476,-3981.7791962347915,-960.3401969266206,-495.2713420881569,-125.15141142163044,-2.3941502582590974,0.0,525.8658114055735,1827.9413793347574
hex40k_base,sensitivity_ge_75pct,1995,2000,1995_2000,0,cr_balance_index,11160,9911,439803881.5329732,392769174.36577666,0.8930552704463337,-0.8009934600780105,0.4524693139899025,-1.0,-1.0,-1.0,-1.0,-0.9307356094681417,-0.14695175501249627,0.9050017322285012,1.0
hex40k_base,sensitivity_ge_75pct,1995,2000,1995_2000,0,consolidation_rate_initial_pasture,11160,9720,439803881.5329732,385411475.44376206,0.8763257707057477,0.028225848898823805,0.09129298390359324,0.0,0.0,0.0,0.0,0.006053683523102776,0.07283746998290902,0.4971854107354588,1.0
hex40k_base,sensitivity_ge_75pct,1995,2000,1995_2000,0,replenishment_rate_initial_native,11160,11160,439803881.5329732,439803881.5329732,1.0,0.06153047375614386,0.08241416800288935,0.0,0.0,0.0017275866754744738,0.029192864062331073,0.09233974175399588,0.16733110118332162,0.37543120262153146,0.7350360294003349
hex40k_base,sensitivity_ge_75pct,1995,2000,1995_2000,0,nat_tmp_intensity_initial_native,11160,11160,439803881.5329732,439803881.5329732,1.0,0.004785349945415777,0.023011616201996998,0.0,0.0,0.0,0.0,0.0003282638608232313,0.00626722562698218,0.11449408234418705,0.516018100501756
hex40k_base,primary_ge_50pct,2000,2005,2000_2005,0,consolidation_density_per_10kha,12445,12445,472310627.0033617,472310627.0033617,1.0,73.53601749371232,215.0953662990489,0.0,0.0,0.0,0.0,14.878444730902377,228.51100007941002,1114.8486602236521,2693.7755383731505
